year,link
1995,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F121995.v4b.avg_lights_x_pct.tgz
1996,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F121996.v4b.avg_lights_x_pct.tgz
1997,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F121997.v4b.avg_lights_x_pct.tgz
1997,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F141997.v4b.avg_lights_x_pct.tgz
1998,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F121998.v4b.avg_lights_x_pct.tgz
1998,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F141998.v4b.avg_lights_x_pct.tgz
1999,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F121999.v4b.avg_lights_x_pct.tgz
1999,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F141999.v4b.avg_lights_x_pct.tgz
2000,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F142000.v4b.avg_lights_x_pct.tgz
2000,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F152000.v4b.avg_lights_x_pct.tgz
2001,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F142001.v4b.avg_lights_x_pct.tgz
2001,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F152001.v4b.avg_lights_x_pct.tgz
2002,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F142002.v4b.avg_lights_x_pct.tgz
2002,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F152002.v4b.avg_lights_x_pct.tgz
2003,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F142003.v4b.avg_lights_x_pct.tgz
2003,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F152003.v4b.avg_lights_x_pct.tgz
2004,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F152004.v4b.avg_lights_x_pct.tgz
2004,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F162004.v4b.avg_lights_x_pct.tgz
2005,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F152005.v4b.avg_lights_x_pct.tgz
2005,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F162005.v4b.avg_lights_x_pct.tgz
2006,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F152006.v4b.avg_lights_x_pct.tgz
2006,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F162006.v4b.avg_lights_x_pct.tgz
2007,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F152007.v4b.avg_lights_x_pct.tgz
2007,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F162007.v4b.avg_lights_x_pct.tgz
2008,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F162008.v4b.avg_lights_x_pct.tgz
2009,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F162009.v4b.avg_lights_x_pct.tgz
2010,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F182010.v4c.avg_lights_x_pct.tgz
2011,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F182011.v4c.avg_lights_x_pct.tgz
2012,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F182012.v4c.avg_lights_x_pct.tgz
2013,https://www.ngdc.noaa.gov/eog/data/web_data/v4avg_lights_x_pct/F182013.v4c.avg_lights_x_pct.tgz

